date,state,checkins,unique_ind,unique_loc
2020-12-22,Melaka,575223,256627,21821
2020-12-22,Negeri Sembilan,585749,290109,23120
2020-12-22,Pahang,735864,321492,29040
2020-12-22,Perak,1204142,545051,50373
2020-12-22,Perlis,176461,110521,8389
2020-12-22,Pulau Pinang,1365741,594294,45723
2020-12-22,Sabah,888461,346925,34556
2020-12-22,Sarawak,1394463,507630,37437
2020-12-22,Selangor,4264176,2024584,132732
2020-12-22,Terengganu,239114,131018,14477
2020-12-22,W.P. KualaLumpur,3752414,1639527,92735
2020-12-22,W.P. Labuan,54253,23258,1824
2020-12-22,W.P. Putrajaya,214018,120802,2566
2020-12-23,Johor,2115504,904958,84833
2020-12-23,Kedah,742307,382340,34518
2020-12-23,Kelantan,244615,137274,17097
2020-12-23,Melaka,605707,264214,22131
2020-12-23,Negeri Sembilan,607223,295354,23554
2020-12-23,Pahang,751139,326255,29382
2020-12-23,Perak,1245388,556330,50737
2020-12-23,Perlis,175309,109485,8269
2020-12-23,Pulau Pinang,1424964,606193,46205
2020-12-23,Sabah,947336,361721,34506
2020-12-23,Sarawak,1512493,528277,37773
2020-12-23,Selangor,4477882,2071894,133837
2020-12-23,Terengganu,247022,135080,14754
2020-12-23,W.P. KualaLumpur,3944394,1681191,93445
2020-12-23,W.P. Labuan,55347,23692,1796
2020-12-23,W.P. Putrajaya,217072,122474,2559
2020-12-24,Johor,2188913,932374,84232
2020-12-24,Kedah,782937,399773,34531
2020-12-24,Kelantan,268068,149846,17376
2020-12-24,Melaka,632284,276206,22160
2020-12-24,Negeri Sembilan,642875,312861,23364
2020-12-24,Pahang,810433,349754,29395
2020-12-24,Perak,1303811,587282,50864
2020-12-24,Perlis,186364,115850,8140
2020-12-24,Pulau Pinang,1489381,625411,45818
2020-12-24,Sabah,900728,344285,26311
2020-12-24,Sarawak,1550488,541447,36560
2020-12-24,Selangor,4587719,2116241,131281
2020-12-24,Terengganu,263287,143774,14982
2020-12-24,W.P. KualaLumpur,4067706,1729664,91337
2020-12-24,W.P. Labuan,60216,24776,1789
2020-12-24,W.P. Putrajaya,227595,127247,2480
2020-12-25,Johor,2172105,909175,61808
2020-12-25,Kedah,734635,379982,22806
2020-12-25,Kelantan,244551,142636,9958
2020-12-25,Melaka,674009,291881,16828
2020-12-25,Negeri Sembilan,638823,320646,17283
2020-12-25,Pahang,854476,367368,22813
2020-12-25,Perak,1315811,605197,39642
2020-12-25,Perlis,188585,111592,5852
2020-12-25,Pulau Pinang,1437850,589227,30713
2020-12-25,Sabah,719242,297780,20207
2020-12-25,Sarawak,1262805,450346,22020
2020-12-25,Selangor,4182153,1926985,84666
2020-12-25,Terengganu,218476,129961,8021
2020-12-25,W.P. KualaLumpur,3718058,1561878,58473
2020-12-25,W.P. Labuan,41024,19144,1045
2020-12-25,W.P. Putrajaya,242500,128582,1570
2020-12-26,Johor,2048667,886213,71293
2020-12-26,Kedah,745868,392434,28877
2020-12-26,Kelantan,283524,157432,14989
2020-12-26,Melaka,684607,302354,18994
2020-12-26,Negeri Sembilan,626118,314766,19941
2020-12-26,Pahang,842586,363511,24658
2020-12-26,Perak,1288976,594420,44371
2020-12-26,Perlis,188439,112930,6623
2020-12-26,Pulau Pinang,1379681,582816,37547
2020-12-26,Sabah,802925,315641,27344
2020-12-26,Sarawak,1343704,475077,30256
2020-12-26,Selangor,4001700,1861380,104407
2020-12-26,Terengganu,278655,152665,12309
2020-12-26,W.P. KualaLumpur,3470918,1486338,70729
2020-12-26,W.P. Labuan,50506,21896,1425
2020-12-26,W.P. Putrajaya,196133,105287,1642
2020-12-27,Johor,2059782,886854,59052
2020-12-27,Kedah,781507,405901,28637
2020-12-27,Kelantan,288981,161927,17567
2020-12-27,Melaka,666956,295841,14485
2020-12-27,Negeri Sembilan,624436,318022,15328
2020-12-27,Pahang,782778,351898,18514
2020-12-27,Perak,1260380,596121,32394
2020-12-27,Perlis,183348,109102,4816
2020-12-27,Pulau Pinang,1345299,573818,27296
2020-12-27,Sabah,753143,306496,22085
2020-12-27,Sarawak,1304736,475958,24144
2020-12-27,Selangor,4033670,1879949,78492
2020-12-27,Terengganu,278873,152730,14543
2020-12-27,W.P. KualaLumpur,3426036,1498762,54899
2020-12-27,W.P. Labuan,43728,20067,1085
2020-12-27,W.P. Putrajaya,215020,119555,1506
2020-12-28,Johor,2086462,908927,82455
2020-12-28,Kedah,775895,396501,33744
2020-12-28,Kelantan,272426,151908,17839
2020-12-28,Melaka,619778,271779,21327
2020-12-28,Negeri Sembilan,609724,300997,22586
2020-12-28,Pahang,800555,344254,28638
2020-12-28,Perak,1243269,571206,48933
2020-12-28,Perlis,189018,115852,8064
2020-12-28,Pulau Pinang,1409820,609858,44847
2020-12-28,Sabah,863992,347244,33921
2020-12-28,Sarawak,1299881,489133,36460
2020-12-28,Selangor,4125516,1975330,127813
2020-12-28,Terengganu,260428,142169,14833
2020-12-28,W.P. KualaLumpur,3555071,1596058,89156
2020-12-28,W.P. Labuan,54515,23224,1769
2020-12-28,W.P. Putrajaya,200956,114454,2444
2020-12-29,Johor,2006226,888566,83547
2020-12-29,Kedah,751603,385696,33907
2020-12-29,Kelantan,262938,146762,17878
2020-12-29,Melaka,574165,256946,21555
2020-12-29,Negeri Sembilan,587782,291731,22995
2020-12-29,Pahang,774137,334714,29175
2020-12-29,Perak,1218752,554241,50061
2020-12-29,Perlis,183797,113759,8180
2020-12-29,Pulau Pinang,1389332,603701,45596
2020-12-29,Sabah,841604,340178,34022
2020-12-29,Sarawak,1294312,488641,36895
2020-12-29,Selangor,4096096,1971337,130931
2020-12-29,Terengganu,252929,138334,14694
2020-12-29,W.P. KualaLumpur,3514579,1588136,91076
2020-12-29,W.P. Labuan,52933,22982,1802
2020-12-29,W.P. Putrajaya,200705,114156,2482
2020-12-30,Johor,2114217,911092,84864
2020-12-30,Kedah,764699,391634,34385
2020-12-30,Kelantan,265087,147587,17659
2020-12-30,Melaka,617758,269323,21848
2020-12-30,Negeri Sembilan,627459,303513,23321
2020-12-30,Pahang,800935,339363,29252
2020-12-30,Perak,1263253,566790,50703
2020-12-30,Perlis,183901,112679,8225
2020-12-30,Pulau Pinang,1418775,610230,45799
2020-12-30,Sabah,888710,349879,33868
2020-12-30,Sarawak,1398589,508864,36991
2020-12-30,Selangor,4405279,2057609,132585
2020-12-30,Terengganu,261099,141435,14882
2020-12-30,W.P. KualaLumpur,3825609,1664405,92278
2020-12-30,W.P. Labuan,56545,24181,1802
2020-12-30,W.P. Putrajaya,210657,119384,2495
2020-12-31,Johor,2158220,934525,84364
2020-12-31,Kedah,801191,407326,34368
2020-12-31,Kelantan,268689,151555,17441
2020-12-31,Melaka,660916,286503,21995
2020-12-31,Negeri Sembilan,662177,322706,23231
2020-12-31,Pahang,811118,351313,28635
2020-12-31,Perak,1318851,593158,50326
2020-12-31,Perlis,194778,118652,8176
2020-12-31,Pulau Pinang,1521488,639506,45381
2020-12-31,Sabah,925277,366666,33269
2020-12-31,Sarawak,1473512,538021,36062
2020-12-31,Selangor,4621416,2145248,130291
2020-12-31,Terengganu,249580,139574,14271
2020-12-31,W.P. KualaLumpur,4061943,1761158,90275
2020-12-31,W.P. Labuan,58352,24802,1773
2020-12-31,W.P. Putrajaya,233740,130805,2447
2021-01-01,Johor,1872088,855547,70958
2021-01-01,Kedah,775695,397125,23386
2021-01-01,Kelantan,244655,143926,10184
2021-01-01,Melaka,676998,295015,15212
2021-01-01,Negeri Sembilan,649803,328409,15404
2021-01-01,Pahang,854316,367503,19257
2021-01-01,Perak,1306771,602442,34236
2021-01-01,Perlis,204392,116803,5996
2021-01-01,Pulau Pinang,1414953,588209,27696
2021-01-01,Sabah,729808,296917,19543
2021-01-01,Sarawak,1337205,467847,21430
2021-01-01,Selangor,4106674,1916448,75916
