state,age_group,dose,metric,value
Negeri Sembilan,40_49,dose2,total,140206.0
Negeri Sembilan,50_59,booster1,total,92896.0
Negeri Sembilan,50_59,booster2,total,3951.0
Negeri Sembilan,50_59,dose1,total,114792.0
Negeri Sembilan,50_59,dose2,total,114234.0
Negeri Sembilan,5_11,booster1,total,101.0
Negeri Sembilan,5_11,booster2,total,1.0
Negeri Sembilan,5_11,dose1,total,65712.0
Negeri Sembilan,5_11,dose2,total,57794.0
Negeri Sembilan,60_69,booster1,total,76776.0
Negeri Sembilan,60_69,booster2,total,5403.0
Negeri Sembilan,60_69,dose1,total,93543.0
Negeri Sembilan,60_69,dose2,total,93164.0
Negeri Sembilan,70_79,booster1,total,33787.0
Negeri Sembilan,70_79,booster2,total,3130.0
Negeri Sembilan,70_79,dose1,total,42167.0
Negeri Sembilan,70_79,dose2,total,42025.0
Negeri Sembilan,80_above,booster1,total,10256.0
Negeri Sembilan,80_above,booster2,total,1036.0
Negeri Sembilan,80_above,dose1,total,14547.0
Negeri Sembilan,80_above,dose2,total,14400.0
Negeri Sembilan,adolescent,booster1,total,1545.0
Negeri Sembilan,adolescent,booster2,total,17.0
Negeri Sembilan,adolescent,dose1,total,111841.0
Negeri Sembilan,adolescent,dose2,total,110614.0
Negeri Sembilan,adult,booster1,total,663079.0
Negeri Sembilan,adult,booster2,total,29216.0
Negeri Sembilan,adult,dose1,total,856244.0
Negeri Sembilan,adult,dose2,total,849893.0
Negeri Sembilan,child,booster1,total,101.0
Negeri Sembilan,child,booster2,total,1.0
Negeri Sembilan,child,dose1,total,65712.0
Negeri Sembilan,child,dose2,total,57794.0
Negeri Sembilan,elderly,booster1,total,120819.0
Negeri Sembilan,elderly,booster2,total,9569.0
Negeri Sembilan,elderly,dose1,total,150257.0
Negeri Sembilan,elderly,dose2,total,149589.0
Negeri Sembilan,total,booster1,total,664725.0
Negeri Sembilan,total,booster2,total,29234.0
Negeri Sembilan,total,dose1,total,1033797.0
Negeri Sembilan,total,dose2,total,1018301.0
Pahang,0_4,booster1,total,0.0
Pahang,0_4,booster2,total,0.0
Pahang,0_4,dose1,total,0.0
Pahang,0_4,dose2,total,0.0
Pahang,12_17,booster1,total,2318.0
Pahang,12_17,booster2,total,14.0
Pahang,12_17,dose1,total,151661.0
Pahang,12_17,dose2,total,148039.0
Pahang,18_29,booster1,total,163144.0
Pahang,18_29,booster2,total,2744.0
Pahang,18_29,dose1,total,300598.0
Pahang,18_29,dose2,total,298034.0
