date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2022-01-16,W.P. Kuala Lumpur,226,145,136,3808,1,40,1,143,42,24,13,165,24,10,14,13,46,52,37,30,13,10,1
2022-01-16,W.P. Labuan,14,1,13,104,0,5,0,7,2,4,0,10,0,0,4,0,3,3,2,2,0,0,0
2022-01-16,W.P. Putrajaya,13,0,17,434,0,2,0,11,0,2,0,11,0,1,1,0,5,3,3,0,0,0,0
2022-01-17,Johor,351,30,0,7639,37,93,2,218,38,64,22,226,39,28,36,22,78,68,44,36,23,14,2
2022-01-17,Kedah,268,5,230,1529,26,53,0,198,17,39,56,150,21,15,24,56,70,37,28,15,15,4,2
2022-01-17,Kelantan,172,1,309,2143,17,39,0,116,17,33,32,79,28,11,22,32,27,15,24,13,17,8,3
2022-01-17,Melaka,201,8,27,1464,87,27,4,148,22,12,78,101,10,1,11,78,47,27,16,11,8,1,1
2022-01-17,Negeri Sembilan,83,0,135,1605,9,7,0,64,12,4,6,66,6,2,2,6,42,9,5,10,4,1,1
2022-01-17,Pahang,127,0,109,2397,8,24,1,92,10,18,15,77,17,2,16,15,32,23,11,11,9,8,0
2022-01-17,Perak,103,6,69,1453,1,20,2,69,12,14,4,67,18,4,10,4,26,18,12,11,12,6,0
2022-01-17,Perlis,8,0,13,194,0,0,0,8,0,0,0,7,1,0,0,0,3,2,2,0,1,0,0
2022-01-17,Pulau Pinang,84,5,358,1279,0,16,0,56,12,12,4,57,11,5,7,4,23,15,8,11,7,3,1
2022-01-17,Sabah,163,0,327,5118,0,38,0,110,15,29,9,108,17,4,25,9,42,36,16,14,11,2,4
2022-01-17,Sarawak,9,1,20,129,0,1,0,3,5,1,0,6,2,0,1,0,3,1,0,2,1,0,1
2022-01-17,Selangor,524,45,842,10550,6,122,2,333,67,94,23,360,42,31,63,23,130,131,61,38,29,11,2
2022-01-17,Terengganu,64,0,49,1006,0,7,0,52,5,6,7,43,8,5,1,7,14,14,7,8,3,4,1
2022-01-17,W.P. Kuala Lumpur,168,79,389,3587,8,33,3,98,34,18,16,116,18,8,10,16,37,35,30,14,15,3,0
2022-01-17,W.P. Labuan,3,0,19,88,0,2,0,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0
2022-01-17,W.P. Putrajaya,14,0,11,437,0,4,0,9,1,4,1,8,1,1,3,1,0,7,1,0,0,1,0
2022-01-18,Johor,464,5,157,7946,47,94,3,310,57,67,42,303,52,28,39,42,128,89,43,43,30,14,8
2022-01-18,Kedah,403,10,238,1694,141,78,1,295,29,56,170,154,23,13,43,170,68,35,26,25,15,8,0
2022-01-18,Kelantan,295,0,300,2137,32,61,1,209,24,54,39,167,35,19,35,39,64,39,29,35,19,14,2
2022-01-18,Melaka,133,6,219,1376,18,25,0,96,12,22,11,93,7,10,12,11,42,35,11,5,5,2,0
2022-01-18,Negeri Sembilan,171,33,106,1670,51,23,0,121,27,14,18,119,20,3,11,18,64,24,11,20,17,2,1
2022-01-18,Pahang,167,1,423,2139,5,41,0,112,14,33,22,99,13,6,27,22,39,33,16,11,9,4,0
2022-01-18,Perak,86,3,233,1306,15,14,1,66,5,6,4,56,19,2,4,4,21,19,6,10,9,8,2
2022-01-18,Perlis,11,0,41,164,0,4,0,7,0,2,1,4,4,1,1,1,0,1,2,1,3,1,0
2022-01-18,Pulau Pinang,201,13,158,1322,9,59,3,117,22,33,19,127,22,19,14,19,49,38,20,20,16,4,2
2022-01-18,Sabah,201,0,174,5144,8,49,0,122,30,38,21,123,19,17,21,21,55,25,26,17,11,4,4
2022-01-18,Sarawak,16,0,28,117,0,3,0,7,6,2,0,10,4,0,2,0,2,2,3,3,2,2,0
2022-01-18,Selangor,679,66,567,10660,43,126,3,460,90,84,71,464,54,27,57,71,174,155,80,55,38,14,2
2022-01-18,Terengganu,68,0,171,902,0,10,0,52,6,7,2,50,9,5,2,2,15,12,10,13,2,6,1
2022-01-18,W.P. Kuala Lumpur,322,135,237,3672,16,36,3,213,70,24,23,245,30,7,17,23,90,87,38,30,26,3,1
2022-01-18,W.P. Labuan,10,0,8,90,3,3,0,6,1,3,1,6,0,2,1,1,1,5,0,0,0,0,0
2022-01-18,W.P. Putrajaya,18,2,33,422,0,4,0,9,5,4,0,13,1,0,4,0,4,5,3,1,0,0,1
2022-01-19,Johor,466,16,29,8382,27,115,3,305,43,81,44,294,47,30,51,44,107,86,47,54,28,13,6
2022-01-19,Kedah,259,16,219,1733,60,63,0,178,18,43,77,121,17,14,29,77,54,34,23,10,10,5,2
2022-01-19,Kelantan,295,6,243,2188,54,44,1,224,26,32,69,172,22,16,16,69,55,49,36,32,13,6,3
2022-01-19,Melaka,77,4,70,1382,21,7,1,55,14,6,17,49,4,3,3,17,23,8,13,5,3,1,0
2022-01-19,Negeri Sembilan,181,2,163,1687,44,32,1,129,19,19,30,118,14,11,8,30,56,37,15,10,9,3,2
2022-01-19,Pahang,170,5,122,2187,24,38,2,114,16,31,13,116,10,11,20,13,48,39,20,9,5,4,1
2022-01-19,Perak,138,8,107,1337,14,22,2,91,23,11,4,103,20,3,8,4,31,32,18,22,13,7,0
2022-01-19,Perlis,9,0,28,144,0,0,0,8,1,0,0,8,1,0,0,0,1,5,1,1,0,1,0
2022-01-19,Pulau Pinang,147,5,167,1300,11,30,1,101,15,18,18,106,5,7,11,18,48,29,18,11,2,2,1
2022-01-19,Sabah,242,0,429,4955,71,36,5,185,16,19,79,131,13,8,11,79,58,29,18,26,9,3,1
2022-01-19,Sarawak,21,3,24,114,0,3,1,7,10,1,0,19,1,0,1,0,3,10,4,2,0,0,1
2022-01-19,Selangor,776,27,879,10555,94,156,1,535,84,120,53,556,41,44,76,53,257,166,74,59,30,8,3
2022-01-19,Terengganu,68,10,81,889,0,14,0,46,8,11,4,41,12,5,6,4,10,17,9,5,9,3,0
2022-01-19,W.P. Kuala Lumpur,352,136,252,3771,36,66,0,199,87,29,40,246,36,13,16,40,83,76,38,49,27,8,1
2022-01-19,W.P. Labuan,6,0,11,85,1,1,0,5,0,1,1,4,0,0,1,1,2,0,0,2,0,0,0
2022-01-19,W.P. Putrajaya,22,1,24,420,0,10,0,9,3,9,2,11,0,2,7,2,4,4,3,0,0,0,0
2022-01-20,Johor,414,23,205,8589,29,101,2,267,44,74,27,267,46,37,37,27,104,84,49,30,21,17,8
2022-01-20,Kedah,275,44,277,1730,54,38,2,191,44,29,62,154,28,11,18,62,53,39,31,31,13,14,1
2022-01-20,Kelantan,360,11,361,2186,63,72,8,246,34,57,73,200,30,20,37,73,83,51,38,28,19,8,3
2022-01-20,Melaka,167,8,186,1363,29,34,1,102,30,28,8,114,17,9,19,8,61,26,17,10,14,2,1
2022-01-20,Negeri Sembilan,218,38,161,1742,92,27,0,159,32,12,79,104,23,5,7,79,45,26,18,15,17,5,1
2022-01-20,Pahang,244,6,230,2200,9,88,1,137,18,48,27,151,17,10,38,27,59,48,30,14,8,7,2
2022-01-20,Perak,124,6,142,1316,27,19,0,83,22,10,10,87,17,7,3,10,39,21,14,13,7,7,3
2022-01-20,Perlis,11,0,23,132,0,2,0,9,0,1,1,8,1,1,0,1,2,2,1,3,1,0,0
2022-01-20,Pulau Pinang,225,6,204,1321,76,33,1,160,31,17,83,114,11,3,14,83,54,28,19,13,8,1,2
2022-01-20,Sabah,256,0,173,5036,86,68,3,162,23,38,50,153,13,13,25,50,64,30,41,18,9,4,0
2022-01-20,Sarawak,14,0,10,117,0,3,0,4,7,2,4,6,2,1,1,4,0,5,0,1,1,0,1
2022-01-20,Selangor,894,98,914,10528,15,172,5,558,159,135,60,626,62,48,87,60,220,211,120,75,47,11,4
2022-01-20,Terengganu,65,5,75,877,0,17,2,33,13,8,3,43,11,4,4,3,14,10,9,10,4,5,2
2022-01-20,W.P. Kuala Lumpur,476,274,242,4005,34,60,1,283,132,29,38,346,63,9,20,38,100,100,54,92,49,10,4
2022-01-20,W.P. Labuan,1,0,13,73,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2022-01-20,W.P. Putrajaya,20,3,38,402,0,3,0,12,5,3,1,14,2,0,3,1,4,2,6,2,2,0,0
2022-01-21,Johor,444,16,95,8937,85,92,1,307,44,71,89,248,36,24,47,89,98,76,39,35,23,10,3
2022-01-21,Kedah,315,42,205,1839,44,57,0,207,51,43,60,186,25,15,28,60,58,60,38,30,19,5,1
2022-01-21,Kelantan,356,20,214,2327,89,52,2,252,50,38,94,192,31,9,29,94,88,40,34,30,20,6,5
2022-01-21,Melaka,197,21,216,1344,39,36,1,121,39,20,27,135,15,9,11,27,66,37,15,17,8,4,3
2022-01-21,Negeri Sembilan,340,0,187,1893,178,63,0,244,33,37,133,156,13,15,22,133,80,31,28,17,9,4,0
2022-01-21,Pahang,226,10,121,2305,30,37,3,164,22,23,37,142,23,7,16,37,61,40,29,12,15,8,0
2022-01-21,Perak,166,54,129,1352,10,21,4,97,44,13,5,114,34,4,9,5,38,33,18,25,21,13,0
2022-01-21,Perlis,14,3,12,134,0,2,0,12,0,2,0,9,3,1,1,0,1,4,1,3,2,1,0
2022-01-21,Pulau Pinang,310,21,203,1426,119,42,3,234,31,31,99,162,18,14,17,99,76,46,21,19,11,3,4
2022-01-21,Sabah,176,1,116,5093,11,39,1,121,15,19,20,118,18,8,11,20,51,34,19,14,6,8,4
2022-01-21,Sarawak,14,0,19,112,0,0,0,3,11,0,0,11,3,0,0,0,1,6,3,1,2,0,1
2022-01-21,Selangor,964,107,896,10592,38,182,7,612,163,131,70,661,79,49,82,70,243,208,122,88,61,14,4
2022-01-21,Terengganu,52,2,93,836,0,4,0,38,10,2,6,37,7,1,1,6,16,11,3,7,3,2,2
2022-01-21,W.P. Kuala Lumpur,425,190,264,4165,29,62,5,254,104,27,25,324,48,13,14,25,134,99,51,40,39,7,2
2022-01-21,W.P. Labuan,1,0,7,67,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2022-01-21,W.P. Putrajaya,46,2,27,421,0,14,0,24,8,14,2,29,1,6,8,2,6,18,5,0,1,0,0
2022-01-22,Johor,568,39,346,9157,37,91,2,392,83,76,41,408,43,29,47,41,151,123,79,55,33,9,1
2022-01-22,Kedah,342,47,226,1953,60,49,6,240,47,37,89,188,28,10,27,89,77,36,35,40,22,6,0
2022-01-22,Kelantan,430,40,288,2469,81,81,2,280,67,64,85,238,42,23,41,85,104,49,47,38,23,17,2
2022-01-22,Melaka,168,28,41,1470,35,35,0,83,50,29,13,111,15,8,21,13,43,34,21,13,11,4,0
2022-01-22,Negeri Sembilan,244,74,158,1979,69,35,4,157,48,23,53,141,27,9,14,53,41,43,30,27,20,6,1
2022-01-22,Pahang,190,12,82,2412,11,57,3,103,27,49,20,99,22,11,38,20,40,28,14,17,16,3,3
2022-01-22,Perak,136,24,137,1349,4,16,1,84,35,6,8,104,18,2,4,8,31,27,25,21,13,3,2
2022-01-22,Perlis,17,4,18,133,7,3,0,12,2,3,7,7,0,2,1,7,3,2,1,1,0,0,0
2022-01-22,Pulau Pinang,249,23,168,1507,55,41,0,172,36,26,14,194,15,8,18,14,101,45,27,21,11,4,0
2022-01-22,Sabah,218,0,171,5139,24,42,2,145,29,30,35,132,21,10,20,35,47,40,21,24,14,5,2
2022-01-22,Sarawak,14,1,12,114,0,1,1,6,6,0,0,11,3,0,0,0,4,3,2,2,3,0,0
2022-01-22,Selangor,1145,111,784,10951,11,215,3,723,204,160,96,795,75,56,104,96,323,259,119,94,55,17,3
2022-01-22,Terengganu,48,0,102,780,0,9,1,27,11,7,1,33,7,2,5,1,8,16,6,3,6,0,1
2022-01-22,W.P. Kuala Lumpur,314,90,290,4188,47,64,2,202,46,35,47,213,19,9,26,47,78,83,30,22,15,4,0
2022-01-22,W.P. Labuan,5,0,21,51,0,2,0,3,0,0,1,4,0,0,0,1,1,1,1,1,0,0,0
2022-01-22,W.P. Putrajaya,28,5,14,435,0,11,0,8,9,11,0,17,0,2,9,0,1,11,3,2,0,0,0
2022-01-23,Johor,524,54,266,9412,68,100,5,347,72,73,50,356,45,22,51,50,160,87,63,46,32,10,3
2022-01-23,Kedah,289,22,217,2025,75,56,1,197,35,44,95,131,18,17,27,95,51,36,22,22,13,4,1
2022-01-23,Kelantan,223,15,296,2396,41,48,3,146,26,35,39,115,33,5,30,39,48,22,24,21,18,13,2
2022-01-23,Melaka,201,18,154,1517,40,37,0,116,48,26,20,145,10,8,18,20,79,41,11,14,7,3,0
2022-01-23,Negeri Sembilan,258,26,133,2104,94,34,0,174,50,24,89,121,23,4,20,89,33,32,30,26,19,3,1
2022-01-23,Pahang,264,6,217,2459,56,75,1,167,21,63,37,144,20,15,48,37,68,44,21,11,14,6,0
2022-01-23,Perak,159,29,62,1445,23,21,0,95,43,14,7,115,23,5,9,7,41,37,15,22,14,6,3
2022-01-23,Perlis,13,3,10,136,0,3,0,8,2,3,1,8,1,2,1,1,5,2,1,0,1,0,0
2022-01-23,Pulau Pinang,206,28,204,1509,53,27,1,141,37,25,12,152,17,8,17,12,84,28,22,18,10,6,1
2022-01-23,Sabah,172,0,134,5176,24,44,2,107,19,29,27,100,16,11,18,27,31,35,18,16,8,5,3
2022-01-23,Sarawak,14,1,17,111,0,3,0,6,5,1,2,9,2,1,0,2,3,4,1,1,1,1,0
2022-01-23,Selangor,1063,102,759,11254,27,198,4,628,233,154,68,750,78,46,108,68,266,262,131,91,58,17,3
2022-01-23,Terengganu,56,6,70,763,0,11,0,34,11,4,2,38,12,2,2,2,17,9,5,7,5,2,5
2022-01-23,W.P. Kuala Lumpur,379,181,251,4316,31,83,1,208,87,37,18,294,30,10,27,18,108,92,55,39,20,8,2
2022-01-23,W.P. Labuan,10,0,10,51,0,3,0,5,2,3,0,6,1,1,2,0,4,1,1,0,1,0,0
2022-01-23,W.P. Putrajaya,25,1,14,446,0,5,0,11,9,5,1,16,3,1,4,1,4,10,2,0,2,1,0
2022-01-24,Johor,450,28,670,9191,29,89,0,281,80,68,34,302,46,21,47,34,105,95,66,36,29,13,4
2022-01-24,Kedah,395,22,198,2221,111,82,3,274,36,62,122,178,31,19,43,122,85,34,27,32,19,7,5
2022-01-24,Kelantan,231,10,240,2386,54,33,0,174,24,28,54,120,29,14,14,54,55,28,18,19,15,11,3
2022-01-24,Melaka,80,10,23,1573,14,10,0,50,20,6,12,52,10,1,5,12,20,16,7,9,9,0,1
2022-01-24,Negeri Sembilan,238,18,102,2240,84,32,1,172,33,23,89,110,16,8,15,89,62,26,12,10,13,3,0
2022-01-24,Pahang,184,20,190,2452,16,47,0,120,17,26,27,117,14,7,19,27,49,27,23,18,8,4,2
2022-01-24,Perak,120,19,202,1363,3,20,0,73,27,10,7,78,25,6,4,7,22,24,15,17,17,6,2
2022-01-24,Perlis,4,0,3,137,0,1,0,2,1,0,0,3,0,0,0,0,1,1,0,1,0,0,0
2022-01-24,Pulau Pinang,222,13,195,1536,30,34,0,150,38,28,28,149,17,8,20,28,61,49,27,12,9,6,2
2022-01-24,Sabah,118,1,242,5050,3,27,0,76,15,16,11,74,17,5,11,11,32,20,17,5,11,4,2
2022-01-24,Sarawak,7,1,9,109,0,1,0,2,4,0,0,7,0,0,0,0,2,2,2,1,0,0,0
2022-01-24,Selangor,816,168,657,11410,11,148,4,464,200,91,57,568,88,37,54,57,187,197,112,72,67,18,3
2022-01-24,Terengganu,66,8,59,770,0,10,0,37,19,9,5,46,6,7,2,5,15,18,5,8,3,2,1
2022-01-24,W.P. Kuala Lumpur,249,88,283,4282,15,59,4,130,56,27,15,184,23,9,18,15,62,60,35,27,18,4,1
