week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w16,Kedah,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
w15,Kedah,0,0,0,0,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.6,1.21,6.08
w14,Kedah,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,3.04
w13,Kedah,0,0,0,0,1,0,0,2,1,0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.2,1.21,0.0
w12,Kedah,0,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,12.16
w11,Kedah,0,0,0,0,2,1,6,0,2,1,0.0,0.0,0.0,0.0,16.67,8.33,50.0,0.0,16.67,8.33,0.0,0.0,0.0,0.0,0.66,0.42,2.74,0.0,2.42,3.04
w10,Kedah,0,0,0,0,0,0,2,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,25.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.6,2.42,9.12
w9,Kedah,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,6.08
w8,Kedah,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,6.08
w7,Kedah,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04
w6,Kedah,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04
w5,Kedah,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08
w4,Kedah,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w3,Kedah,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0
w2,Kedah,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
w1,Kedah,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w24,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w23,Kelantan,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
w22,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w21,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w20,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w19,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w18,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w17,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w16,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w15,Kelantan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
