"date","state","cases_imported","cases_imported_total"
2020-09-20,"PULAU PINANG",0,0
2020-09-20,"PERAK",0,6
2020-09-20,"SELANGOR",4,257
2020-09-20,"NEGERI SEMBILAN",0,156
2020-09-20,"MELAKA",0,40
2020-09-20,"JOHOR",0,52
2020-09-20,"PAHANG",0,5
2020-09-20,"TERENGGANU",0,1
2020-09-20,"KELANTAN",0,3
2020-09-20,"SABAH",0,30
2020-09-20,"SARAWAK",0,50
2020-09-20,"WP KUALA LUMPUR",6,301
2020-09-20,"WP PUTRAJAYA",0,14
2020-09-20,"WP LABUAN",2,6
2020-09-21,"PERLIS",0,0
2020-09-21,"KEDAH",0,6
2020-09-21,"PULAU PINANG",0,0
2020-09-21,"PERAK",0,6
2020-09-21,"SELANGOR",3,260
2020-09-21,"NEGERI SEMBILAN",0,156
2020-09-21,"MELAKA",0,40
2020-09-21,"JOHOR",0,52
2020-09-21,"PAHANG",0,5
2020-09-21,"TERENGGANU",0,1
2020-09-21,"KELANTAN",0,3
2020-09-21,"SABAH",0,30
2020-09-21,"SARAWAK",0,50
2020-09-21,"WP KUALA LUMPUR",3,304
2020-09-21,"WP PUTRAJAYA",0,14
2020-09-21,"WP LABUAN",0,6
2020-09-22,"PERLIS",0,0
2020-09-22,"KEDAH",0,6
2020-09-22,"PULAU PINANG",0,0
2020-09-22,"PERAK",0,6
2020-09-22,"SELANGOR",0,260
2020-09-22,"NEGERI SEMBILAN",0,156
2020-09-22,"MELAKA",0,40
2020-09-22,"JOHOR",0,52
2020-09-22,"PAHANG",0,5
2020-09-22,"TERENGGANU",0,1
2020-09-22,"KELANTAN",0,3
2020-09-22,"SABAH",0,30
2020-09-22,"SARAWAK",1,51
2020-09-22,"WP KUALA LUMPUR",9,313
2020-09-22,"WP PUTRAJAYA",0,14
2020-09-22,"WP LABUAN",0,6
2020-09-23,"PERLIS",0,0
2020-09-23,"KEDAH",0,6
2020-09-23,"PULAU PINANG",0,0
2020-09-23,"PERAK",0,6
2020-09-23,"SELANGOR",0,260
2020-09-23,"NEGERI SEMBILAN",0,156
2020-09-23,"MELAKA",0,40
2020-09-23,"JOHOR",0,52
2020-09-23,"PAHANG",0,5
2020-09-23,"TERENGGANU",0,1
2020-09-23,"KELANTAN",0,3
2020-09-23,"SABAH",0,30
2020-09-23,"SARAWAK",0,51
2020-09-23,"WP KUALA LUMPUR",4,317
2020-09-23,"WP PUTRAJAYA",0,14
2020-09-23,"WP LABUAN",0,6
2020-09-24,"PERLIS",0,0
2020-09-24,"KEDAH",0,6
2020-09-24,"PULAU PINANG",0,0
2020-09-24,"PERAK",0,6
2020-09-24,"SELANGOR",1,261
2020-09-24,"NEGERI SEMBILAN",0,156
2020-09-24,"MELAKA",0,40
2020-09-24,"JOHOR",1,53
2020-09-24,"PAHANG",0,5
2020-09-24,"TERENGGANU",0,1
2020-09-24,"KELANTAN",0,3
2020-09-24,"SABAH",0,30
2020-09-24,"SARAWAK",0,51
2020-09-24,"WP KUALA LUMPUR",0,317
2020-09-24,"WP PUTRAJAYA",0,14
2020-09-24,"WP LABUAN",0,6
2020-09-25,"PERLIS",0,0
2020-09-25,"KEDAH",0,6
2020-09-25,"PULAU PINANG",0,0
2020-09-25,"PERAK",0,6
2020-09-25,"SELANGOR",1,262
2020-09-25,"NEGERI SEMBILAN",0,156
2020-09-25,"MELAKA",0,40
2020-09-25,"JOHOR",1,54
2020-09-25,"PAHANG",0,5
2020-09-25,"TERENGGANU",0,1
2020-09-25,"KELANTAN",0,3
2020-09-25,"SABAH",0,30
2020-09-25,"SARAWAK",0,51
2020-09-25,"WP KUALA LUMPUR",2,319
2020-09-25,"WP PUTRAJAYA",0,14
2020-09-25,"WP LABUAN",0,6
2020-09-26,"PERLIS",0,0
2020-09-26,"KEDAH",0,6
2020-09-26,"PULAU PINANG",0,0
