week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w23,W.P. Labuan,0,0,0,5,3,5,0,0,0,1,0.0,0.0,0.0,35.71,21.43,35.71,0.0,0.0,0.0,7.14,0.0,0.0,0.0,26.46,15.38,39.37,0.0,0.0,0.0,100.0
w22,W.P. Labuan,0,0,0,1,3,0,0,1,1,0,0.0,0.0,0.0,16.67,50.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,5.29,15.38,0.0,0.0,18.18,47.62,0.0
w21,W.P. Labuan,1,0,2,6,7,2,2,0,0,3,4.35,0.0,8.7,26.09,30.43,8.7,8.7,0.0,0.0,13.04,11.49,0.0,19.61,31.75,35.9,15.75,22.73,0.0,0.0,300.0
w20,W.P. Labuan,0,2,0,0,0,1,1,0,0,1,0.0,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,16.39,0.0,0.0,0.0,7.87,11.36,0.0,0.0,100.0
w19,W.P. Labuan,0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,5.29,5.13,0.0,0.0,0.0,47.62,0.0
w18,W.P. Labuan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w17,W.P. Labuan,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0.0,0.0,0.0,0.0,0.0,0.0
w16,W.P. Labuan,0,0,0,1,1,1,0,0,1,0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.29,5.13,7.87,0.0,0.0,47.62,0.0
w15,W.P. Labuan,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,100.0
w14,W.P. Labuan,0,0,1,5,1,0,0,0,0,0,0.0,0.0,14.29,71.43,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,26.46,5.13,0.0,0.0,0.0,0.0,0.0
w13,W.P. Labuan,1,0,1,3,4,1,2,1,0,0,7.69,0.0,7.69,23.08,30.77,7.69,15.38,7.69,0.0,0.0,11.49,0.0,9.8,15.87,20.51,7.87,22.73,18.18,0.0,0.0
w12,W.P. Labuan,0,0,0,1,3,3,3,0,0,1,0.0,0.0,0.0,9.09,27.27,27.27,27.27,0.0,0.0,9.09,0.0,0.0,0.0,5.29,15.38,23.62,34.09,0.0,0.0,100.0
